variable,count,mean,std,min,25%,50%,75%,max
energy_score,9102.0,3.5493298176225005,4.772478039084558,0.0,1.0,2.0,4.0,81.0
security_score,9102.0,0.6756756756756757,2.7849445844163445,0.0,0.0,0.0,0.0,51.0
economic_score,9102.0,0.8835420786640299,2.180981680427858,0.0,0.0,0.0,1.0,34.0
climate_score,9102.0,0.8253131179960448,2.0736957411268886,0.0,0.0,0.0,1.0,32.0
minerals_score,9102.0,0.07042408261920458,0.4280899184151197,0.0,0.0,0.0,0.0,13.0
energy_density,9102.0,40.0844316084377,43.658759029439466,0.0,10.8696,25.641,54.5455,444.4444
security_density,9102.0,3.363171149197978,12.065422448811804,0.0,0.0,0.0,0.0,166.6667
economic_density,9102.0,5.316856745770161,12.738406088449398,0.0,0.0,0.0,4.561025,181.8182
climate_density,9102.0,5.424402054493518,12.415188667667518,0.0,0.0,0.0,4.58195,150.0
minerals_density,9102.0,1.090785288947484,10.073810908986664,0.0,0.0,0.0,0.0,600.0
securitization_index,9102.0,0.33088061328349816,1.5281835763464533,0.0,0.0,0.0,0.0,35.0
security_share_of_frames,9102.0,0.10882603746804437,0.27585481158970643,0.0,0.0,0.0,0.0,1.0
