frame_a,frame_b,cooccurrence_count,cooccurrence_share_of_dataset,jaccard_similarity
energy,economic,2843,0.3123489343001538,0.3189007291082445
energy,climate,2714,0.2981762250054933,0.304328324736488
economic,climate,1149,0.12623599208965064,0.2580282955311026
security,economic,803,0.08822236871017358,0.2218232044198895
energy,security,1533,0.16842452208305866,0.1718609865470852
security,climate,595,0.06537024829707756,0.16072393300918422
security,minerals,69,0.007580751483190508,0.03622047244094488
climate,minerals,82,0.009009009009009009,0.026701400195376097
economic,minerals,83,0.00911887497253351,0.025969962453066334
energy,minerals,207,0.022742254449571522,0.022742254449571522
