year,primary_framing,count,year_total,share
2019,climate,298,2810,0.10604982206405694
2019,economic,259,2810,0.09217081850533808
2019,energy-general,1987,2810,0.70711743772242
2019,minerals,101,2810,0.03594306049822064
2019,security,165,2810,0.05871886120996441
2020,climate,149,1517,0.0982201713909031
2020,economic,177,1517,0.11667765326301911
2020,energy-general,1041,1517,0.6862228081740277
2020,minerals,36,1517,0.023731048121292023
2020,security,114,1517,0.07514831905075807
2021,climate,263,2430,0.10823045267489712
2021,economic,260,2430,0.10699588477366255
2021,energy-general,1727,2430,0.7106995884773663
2021,minerals,21,2430,0.008641975308641974
2021,security,159,2430,0.0654320987654321
2022,climate,138,2345,0.05884861407249467
2022,economic,287,2345,0.12238805970149254
2022,energy-general,1595,2345,0.6801705756929638
2022,minerals,50,2345,0.021321961620469083
2022,security,275,2345,0.11727078891257996
