speaker_id,speaker_display,speaker_party,speaker_role,utterances,energy_security_count,energy_security_rate,energy_minerals_count,avg_energy_density,avg_security_density,avg_economic_density,avg_climate_density,avg_minerals_density,avg_securitization_index
MarkRutte,Mark Rutte,Unknown,Unknown,307,87,0.28338762214983715,8,29.998715635179153,6.449978501628665,5.471622149837134,5.3515208469055375,0.4090775244299675,0.8927504363172116
RobJetten,Rob Jetten,Unknown,Unknown,221,46,0.2081447963800905,7,52.0183742081448,3.5674085972850675,4.138779185520362,7.865528054298642,0.4327524886877828,0.1602492278962867
SjoerdSjoerdsma,Sjoerd Sjoerdsma,Unknown,Unknown,53,40,0.7547169811320755,0,33.81494716981132,29.08097358490566,1.7240264150943396,3.336566037735849,0.0,3.498256146369354
TomvanderLee,Tomvander Lee,Unknown,Unknown,256,36,0.140625,9,44.55317109375,4.32238515625,4.43535234375,7.329098828125,2.016342578125,0.26132347470238093
WopkeHoekstra,Wopke Hoekstra,Unknown,Unknown,101,32,0.31683168316831684,0,23.883957425742576,5.629544554455446,6.787266336633664,1.1368772277227723,0.05294653465346535,0.6817847169332318
HenkOtten,Henk Otten,Unknown,Unknown,131,28,0.21374045801526717,2,59.83000381679389,5.774712977099236,5.8304488549618325,3.8520999999999996,0.1249175572519084,0.2188840421664849
WybrenvanHaga,Wybrenvan Haga,Unknown,Unknown,116,26,0.22413793103448276,5,51.83518448275862,5.105118965517241,6.039009482758621,4.411201724137931,1.722521551724138,0.28780343219998394
ThierryBaudet,Thierry Baudet,Unknown,Unknown,91,26,0.2857142857142857,1,41.0480010989011,2.92541978021978,5.879420879120879,4.194784615384616,0.015115384615384616,0.41075377613839154
ChristineTeunissen,Christine Teunissen,Unknown,Unknown,92,25,0.2717391304347826,1,60.88169239130435,10.117584782608697,9.14778152173913,13.989347826086956,0.0988141304347826,0.463398185361101
SigridKaag,Sigrid Kaag,Unknown,Unknown,104,24,0.23076923076923078,2,24.802031730769233,4.274098076923077,11.919644230769231,7.475370192307692,0.36162692307692307,0.31665159093043704
StefBlok,Stef Blok,Unknown,Unknown,64,23,0.359375,5,27.3514265625,11.4381359375,1.893225,4.2474953125,1.302615625,1.4328125
PieterOmtzigt,Pieter Omtzigt,Unknown,Unknown,101,23,0.22772277227722773,0,34.015840594059405,5.340817821782178,13.686466336633664,0.6899782178217821,0.0,0.44662201514269073
EricWiebes,Eric Wiebes,Unknown,Unknown,390,22,0.05641025641025641,17,39.75795307692307,0.6282676923076923,5.881881538461539,4.847968717948718,1.1751653846153847,0.03606227106227106
BramvanOjik,Bramvan Ojik,Unknown,Unknown,28,20,0.7142857142857143,0,59.0656,30.722114285714287,1.320582142857143,1.3325607142857143,0.0,2.2392857142857143
ArdaGerkens,Arda Gerkens,Unknown,Unknown,116,20,0.1724137931034483,6,78.58674482758622,5.349866379310345,5.9499706896551725,8.586274999999999,0.9828112068965518,0.1755028735632184
RenskeLeijten,Renske Leijten,Unknown,Unknown,100,18,0.18,1,43.632945,2.083752,2.8064940000000003,4.792762,0.272613,0.24178571428571427
LaurensDassen,Laurens Dassen,Unknown,Unknown,44,17,0.38636363636363635,2,41.691345454545456,9.04664090909091,8.901079545454545,10.182729545454546,0.12424772727272729,0.6169117647058824
AlexanderKops,Alexander Kops,Unknown,Unknown,167,17,0.10179640718562874,8,71.71924191616766,1.1286874251497006,5.799332934131737,7.803140119760479,0.4937119760479042,0.04566827882696146
MarjoleinFaber-vandeKlashorst,Marjolein Faber-vande Klashorst,Unknown,Unknown,60,16,0.26666666666666666,2,70.50894833333334,4.265971666666667,6.396261666666666,7.674008333333333,0.07555166666666667,0.3127210967232897
LammertvanRaan,Lammertvan Raan,Unknown,Unknown,166,16,0.0963855421686747,6,48.2111578313253,2.2983927710843375,7.323472289156626,11.56837891566265,0.6193897590361446,0.11049401224808737
ChrisStoffer,Chris Stoffer,Unknown,Unknown,110,16,0.14545454545454545,0,40.13622909090909,1.7104527272727272,4.495159090909091,4.006960909090909,0.0,0.2998993178538633
KatiPiri,Kati Piri,Unknown,Unknown,16,15,0.9375,0,16.27146875,42.4346125,2.22590625,0.0,0.0,5.09375
SuzanneKröger,Suzanne Kröger,Unknown,Unknown,119,15,0.12605042016806722,6,55.139521008403364,2.9740420168067225,4.624979831932773,8.98306974789916,11.036152100840336,0.12444977991196479
GeertWilders,Geert Wilders,Unknown,Unknown,72,15,0.20833333333333334,0,20.811855555555557,2.626427777777778,7.418334722222222,1.996377777777778,0.0,0.24097222222222225
PieterGrinwis,Pieter Grinwis,Unknown,Unknown,116,15,0.12931034482758622,5,49.537775,2.5052241379310343,7.287040517241379,7.509864655172414,0.48745000000000005,0.08912151067323482
RubenBrekelmans,Ruben Brekelmans,Unknown,Unknown,19,14,0.7368421052631579,0,26.126563157894736,66.95303684210526,6.505410526315789,0.35562105263157895,1.7867526315789475,5.7368421052631575
