utterance_id,year,month,speaker_display,speaker_party,primary_framing,speech_cluster,text
ParlaMint-NL_2022-03-23-tweedekamer-4.u120,2022,2022-03,Pieter Grinwis,Unknown,energy-general,2,"It is good if TNO's research is updated. It was then about 500,000 households, of which three quarters live in rental homes, with a risk of energy poverty or living in energy poverty. I have already seen estimates where this has increased to over 1 million households, with a larger share of home homes added, especially in rural areas. It's all known. It is good that this is updated quickly. This is precisely why the coalition agreement agreed firstly to remove the landlord's tax, to ensure that performance agreements are made and to promote the phasing out of poorly isolated housing. These are properties with labels E, F and G. Secondly, the national isolation programme has been agreed. My question is whether TNO can discuss action options in its analysis to quickly reduce the risk. I would also like to ask whether the government in its appreciation of the investigation, as soon as it comes to the Chamber, can address the question of how what has been agreed could possibly be intensified or accelerated, both in the case of housing corporations and other landlords, as well as in the case of the national isolation programme. Because if the budget is not sufficient next year, then of course until 2030 the climate and transition fund still has quite a bit of a budget. I know that the Minister for Climate and Energy is going to look favourably at whether there is sufficient budget to really reduce the risk of energy poverty in the short term."
ParlaMint-NL_2020-11-26-tweedekamer-2.u230,2020,2020-11,Kathalijne Buitenweg,Unknown,energy-general,0,"I hear a lot of different things, I must say. At the beginning, the Minister said that it is mainly a matter for the people there. Then there's some pressure put on it by D66, and then there's some more fire. I would say, above all, hold on to that, and don't be as shabby as at the beginning. The Minister now also says that they do say that it is also about clearing the case law. Then it's not just a case for there, it's a case for us as well. Minister Van Engelshoven recently said, I think a few weeks ago, in a debate: perhaps we should think about such a leading group of Member States; I am going to discuss this in the cabinet. Now I hope for a small explanation of what exactly has been the consideration following this conversation which, I presume, has actually taken place. The Minister now sees such a leading group primarily as undermining the strength of the European Commission; at least, it seems. But you can also see it as a reinforcement that we not only let the Commission take the coals out of the fire, but that we make it clear on several fronts that this is an issue for all of us. Then we can also see how we can work together with Member States, for example in Spain and Italy, to make it clear that this is a joint thing. I would like the possibility to be actively examined by this Minister for Legal Protection, including European legal protection."
ParlaMint-NL_2021-07-08-tweedekamer-8.u56,2021,2021-07,Dilan Yeşilgöz- Zegerius,Unknown,economic,2,"The motion in part No. 785 on the SDE++ I advise against. This concerns future CO-free capacity subsidies. It is not wise to limit this and exclude it for innovation subsidies. It has not yet been used, but the motion asks me to rule everything out. I wouldn't want to do that right now. The motion in part No. 786 by Mr Van der Lee and Mr Bontenbal, and calls for the roll-out of hybrid heat pumps. That seems to me to support policy; good idea, we are going to do it. We already did."
ParlaMint-NL_2019-11-20-tweedekamer-7.u192,2019,2019-11,Femke Merelvan Kooten- Arissen,Unknown,economic,0,"Thank you, Mr President. A cop who can do his or her best work is indispensable to your sense of safety and is vital. Anyone who has ever needed the police to protect themselves, another or an animal knows that this is true. Then you don't want to have to look for an internet form or a so-called pop-up police station, which is a name that disappeared as suddenly as it had come, but then you seek the familiarity of the familiar face of the district agent. Then you do not want to report it at a so-called 3D declaration counter, in an abandoned building or at your municipality with very limited opening hours. Then you really want to connect with a physical person, from person to person, that reassures you, listens to you and protects you. The president of the ACP police union says: we see that the problems are acute and that there are far too few agents in the streets, in the neighbourhood and in the neighbourhood; there are also too few people in the police department to solve criminal offences, and in society the need and expectation is that they will succeed. Mr. Chairman. This isn't new. After all the cuts, the minister had to be packed in efficiency strokes, and the transformation into a log national police force, the ageing population and the huge outflow within the police and the much too limited influx into the academy for many years, no, should have foreseen this. Even now, it's sticking patches. Already, the consequences of far too few agents are fully felt in society. But what does the Minister do? To really solve the many problems within the police, 75 to 100 million is needed, among other things for 17,000 new agents. This was argued by the ACP police union in May. How far do the police and the security of our society have to sink through the ice before the minister starts investing structurally in the police? I'd like a response. Mr. Chairman. The shortage of capacity creates problems everywhere. In society, citizens try to solve the capacity problems and the disappearance of the district agent themselves and keep their neighborhood safe by setting up WhatsApp groups, deploying civilian searches and by civilian surveillance in the neighborhood, armed with just a flashlight. Such initiatives are the result of a lack of peace on the part of the police and of delays in driving, particularly in rural areas. Does the Minister consider it his responsibility to end the need for such citizens' initiatives? Does the Minister agree with me that one district agent out of 5,000 citizens is far too little and that the breeding ground for even more violent incidents in which people or groups take the law into their own hands because they do not feel heard or because they see that no action is being taken against injustice and suffering can only be taken away if the police can do their job fully again and the citizens can rely on it? Mr. Chairman. Speaking of citizen's confidence, there are still expensive 0900 forwarding numbers that appear high on the internet search ""no urgency, but police"" and which, unlike the free number 0900-8844, cost a lot of money. How is it possible that this is still possible? Years ago, Parliament questions were asked about it. The Authority's Consumer & Market referred to the website as ""unwanted but not illegal'. Can't the Minister put an end to this? Mr. Chairman. For the police, the consequences of undercapacity are not easy either: enormous workload, hectic in roasting, disease breakdown, burn-outs, tensions within the corps, PTSD, insecurity for agents and citizens, reports and declarations that remain, animal welfare, environment and youth tasks that no longer need time because we need to maintain emergency aid with man and power, because we also need resuscitation. The basic team chiefs set priorities and the task holders no longer belong to their specialties. How can there be more attention to issues such as violence against Ibti's people when all energy is needed for emergency aid? How can more effective action be taken against child abuse, children who grow up in an unsafe home situation? How can there be more violence against animals if there is no longer time for task holders to tackle this issue? Now it is up to the Member to take over. It has been given many new tasks, while it also lacks capacity. How's the Minister gonna solve all this? Mr. Chairman. All kinds of unorthodox measures are being taken by the Minister. No proposal is really too crazy to continue to function more or less with less capacity, far too few agents. I would like to join with all the questions that have been asked about the extended powers of police and security services, about algorithms, additional camera surveillance including facial recognition, the drag law and privacy, and the civil rights of innocent citizens, which are seriously at risk. Mr. Chairman. Then the taser. We got a letter of inquiry. Does the Minister agree with me that resting agents with this taser is not a solution to the capacity problem either? You can't count on that to arrest fewer cops. At my request, the Minister took note of the advice of the UN Committee on Torture, for which he thanked. But can the Minister please go into the proportionality of the power-bulb weapon again? In the United Kingdom, 18 people have died since the arms were imported after it was used against them. Can the Minister respond to the risks clearly described in an analysis in the NRC last Saturday? There is no provision for studies to work in a controlled setting. The Minister wants to exempt weaker groups from using the taser. But how does a cop see if a woman is, for example, four months pregnant? And why aren't the elderly excluded? Mr. Chairman. We need an emergency plan for the police. Yesterday we received a letter of fire from the trade unions stating that in the very short term, now, choices must be made by this cabinet, by this minister. The only concrete plan available concerns the length of training of agents. Probably getting shorter, more practice, more on the street. Does the Minister agree with me that training is precisely the most valuable basis for a police force that has confidence in itself on the one hand and gives citizens confidence on the other? Does the Minister agree with me that the solution to the problems of capacity, the ageing population, the massive outflow of agents and the hole that creates this outflow should not be sought in the reduction of training? An organisation in charge of the monopoly of violence is in charge of the essential and not to be underestimated important task of keeping this country safe must seek the solution not in reducing training, but in investing in the educational organisation. It's already beeping and cracking in this organization, because it has to grow from 2,000 students to 2,700 students a year. Can the Minister reflect on this? Mr. Chairman. The trade unions have now decided to come up with their own contingency plan to deal with the problems. Shouldn't the minister have taken the lead here proactively? This is in view of the importance of an optimally functioning police force, for which the Minister is responsible. Instead, the Minister writes, a little ominous, that ""uncomfortable choices"" must be made in the coming years. What exactly does the Minister mean? Mr. Chairman. Thank you."
ParlaMint-NL_2020-07-02-tweedekamer-79.u1,2020,2020-07,Khadija Arib,Unknown,energy-general,0,"The next item is the VAO Climate and Energy, with Mr Van der Lee van GroenLinks as the first speaker. Welcome to the Minister."
ParlaMint-NL_2020-06-11-tweedekamer-9.u96,2020,2020-06,Mark Harbers,Unknown,energy-general,0,"I always think it should be as cheap as possible. If we do nothing, the coal plants will close by 2030 anyway. We don't have to spend any more money for that. Everything you do to speed up should be as cost-effective as possible. That is why I am so curious about the outcome of the discussions that the Minister is having. Thank you."
ParlaMint-NL_2020-11-04-tweedekamer-3.u138,2020,2020-11,Tomvander Lee,Unknown,climate,0,"Then we don't have to rush and I can take a breath. I'd like to move on to the Secretary of State. I don't really feel like she's thinking in transitions. That's partly because of what she says in the media. Even against the corona policy, she calls people to go shopping. But also in the major processes of change I miss the decisiveness of her when it comes to accelerating the transitions. I wonder if I'm wrong about that, or if the Secretary of State can convince me that she's going for it. She has a lot of heart for SMEs. I am curious to see what it has achieved sustainably for SMEs in this cabinet period. On the important subject of digitalisation, besides sustainability, there is not for nothing the second priority, which is also at the heart of all these European packages, and I also have a number of questions that relate to the long term. In itself, I welcome the action taken by the Secretary of State, together with her French colleague, who I believe is even the Minister of digitalization. I understand from the non-verbal reactions that this is not the case, so I am apparently misinformed; then he is also Secretary of State, Mr Delors, a non-paper on the digital service act, a very important subject. There are good things in it when it comes to data sharing, data portability and data interoperability. Kees Verhoeven can say that much better than I do. However, much less is written about structural measures, such as cutting up big tech companies, the frightening five, we know all of them, which have grown by 20% in this period of corona. They were already the largest companies in the world, but they've grown another fifth. The Secretary of State had a bit of a hint in the media that cutting up companies could be an ultimatum remedium. I find that interesting. I'd like to hear more about that. When has the Secretary of State come the moment when, as a political party, we cannot, as the Netherlands alone, but in a European context, build up the enormous market power of these companies, which not only have enormous value, but also with a huge amount of services in many markets at the same time with a huge amount of information, cannot cut back a little more structuralally, by cutting them up, or by banning them from offering too many services at the same time? I would like to hear her long-term thinking about digitisation on this point. Finally, I am finished, within my speaking time, I would like to say a word of thanks to all the members of the two governments. It is an unprecedentedly difficult time, also in the area of economic affairs and climate, because of the gas extraction, because of climate change, because of corona, and later on also because of brexit. A lot of work needs to be done. I think that more colleagues would actually have wanted and should have had to be able to handle all the work. I thank them very much for all the work that has been done."
ParlaMint-NL_2019-06-26-tweedekamer-6.u222,2019,2019-06,Eric Wiebes,Unknown,energy-general,0,"The motion in part No. 12, by Mr Van der Lee, asks the government to ensure that there is a guarantee that if the Amercentrale does not rely entirely on renewable biomass, there is a sustainable alternative. What they can be required to do is not about the Amercentrale but about the enforcement of a law will therefore never be coal, but if I may read'sustainable' as 'non-coal', then of course it is up to this operator himself. Because driving individual power stations as part of my task package really goes too far. So if I can read the motion like that, I'll leave that judgment room. Then we have the same intention."
ParlaMint-NL_2022-02-03-tweedekamer-12.u137,2022,2022-02,Don Ceder,Unknown,security,1,"Yes, Mr. Chairman. As indicated earlier, we need to keep the conversation going at the same time. That is why I welcome, for example, the Normandy Format, although it is at the advisory level. We must also continue to make it clear to Russia that NATO is not a threat in this respect. I am pleased to read in the Minister's letter that NATO is also willing to listen to any concerns of Russia and to engage in dialogue and so let it go that way. Mr. Chairman. Does the Minister see any possibility of restoring the links that Russia has broken between NATO and itself, without responding to all sorts of unreasonable demands of Russia? Could the Netherlands play its own role in this? I've got two seconds. That is why I am asking what is going on with our previous request for foreign gas. Think of America, Israel, Cyprus and so on. Thank you, Mr. Chairman."
ParlaMint-NL_2021-09-28-tweedekamer-12.u2,2021,2021-09,Tomvander Lee,Unknown,energy-general,0,"Thank you, Mr. Chairman. Nice to see you here in this role. There is a lot going on in the field of climate and energy in Europe and in the Netherlands. There are a lot of issues to discuss, but I would like to limit myself to three points, on which I have motions for resolutions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas industry, built environment and mobility require large-scale electrification in the coming years in order to maintain climate targets;]] [[noting that sufficient supply of green electricity is essential for this;]] [[Whereas the supply of energy regions is much higher than the current SDE++ ceiling of 35 TWh;]] [[calls on the Government to ask an independent party for an opinion on how to deal with renewable energy on land after 2025,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van der Lee, Mr Thijssen and Mr Boucke.]] [[She's getting No. kst-32813-845]]"
